event_id	listing_date	event_listing_date_id	taxonomy	event_title	event_datetime	tickets_listed	mean_listing_price	performer_1	performer_2	performer_3	performer_4	venue_name
3594065	2017-06-01	3594065_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-09-07T02:10:00Z	8942	56	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium
3594068	2017-06-01	3594068_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-09-06T02:10:00Z	11642	32	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium
3594070	2017-06-01	3594070_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-09-05T00:10:00Z	10344	49	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium
3594118	2017-06-01	3594118_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-07-06T02:10:00Z	13130	32	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium
3594116	2017-06-01	3594116_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-07-07T02:10:00Z	13102	48	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium
3594121	2017-06-01	3594121_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-07-05T01:10:00Z	11572	73.5	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium
3594103	2017-06-01	3594103_17318	MLB Baseball	Atlanta Braves at Los Angeles Dodgers	2017-07-23T01:10:00Z	11085	52	Los Angeles Dodgers	Atlanta Braves	NA	NA	Dodger Stadium
3594105	2017-06-01	3594105_17318	MLB Baseball	Atlanta Braves at Los Angeles Dodgers	2017-07-22T02:10:00Z	11575	49	Los Angeles Dodgers	Atlanta Braves	NA	NA	Dodger Stadium
3594108	2017-06-01	3594108_17318	MLB Baseball	Atlanta Braves at Los Angeles Dodgers	2017-07-21T02:10:00Z	12300	37	Los Angeles Dodgers	Atlanta Braves	NA	NA	Dodger Stadium
3594101	2017-06-01	3594101_17318	MLB Baseball	Atlanta Braves at Los Angeles Dodgers	2017-07-23T20:10:00Z	10336	45	Los Angeles Dodgers	Atlanta Braves	NA	NA	Dodger Stadium
3594080	2017-06-01	3594080_17318	MLB Baseball	Chicago White Sox at Los Angeles Dodgers	2017-08-16T02:10:00Z	11040	51	Los Angeles Dodgers	Chicago White Sox	NA	NA	Dodger Stadium
3594078	2017-06-01	3594078_17318	MLB Baseball	Chicago White Sox at Los Angeles Dodgers	2017-08-17T02:10:00Z	11131	42	Los Angeles Dodgers	Chicago White Sox	NA	NA	Dodger Stadium
3594150	2017-06-01	3594150_17318	MLB Baseball	Cincinnati Reds at Los Angeles Dodgers	2017-06-10T02:10:00Z	9766	40	Los Angeles Dodgers	Cincinnati Reds	NA	NA	Dodger Stadium
3594145	2017-06-01	3594145_17318	MLB Baseball	Cincinnati Reds at Los Angeles Dodgers	2017-06-11T20:10:00Z	10233	31	Los Angeles Dodgers	Cincinnati Reds	NA	NA	Dodger Stadium
3594147	2017-06-01	3594147_17318	MLB Baseball	Cincinnati Reds at Los Angeles Dodgers	2017-06-11T02:10:00Z	10439	43	Los Angeles Dodgers	Cincinnati Reds	NA	NA	Dodger Stadium
3594127	2017-06-01	3594127_17318	MLB Baseball	Colorado Rockies at Los Angeles Dodgers	2017-06-25T20:10:00Z	12132	42	Los Angeles Dodgers	Colorado Rockies	Los Angeles Angels	NA	Dodger Stadium
3594057	2017-06-01	3594057_17318	MLB Baseball	Colorado Rockies at Los Angeles Dodgers	2017-09-10T20:10:00Z	11539	42	Los Angeles Dodgers	Colorado Rockies	NA	NA	Dodger Stadium
3594132	2017-06-01	3594132_17318	MLB Baseball	Colorado Rockies at Los Angeles Dodgers	2017-06-24T02:10:00Z	11592	50	Los Angeles Dodgers	Colorado Rockies	NA	NA	Dodger Stadium
3594061	2017-06-01	3594061_17318	MLB Baseball	Colorado Rockies at Los Angeles Dodgers	2017-09-09T02:10:00Z	11485	46	Los Angeles Dodgers	Colorado Rockies	NA	NA	Dodger Stadium
